LONGITUDE,LATITUDE,LABEL,LAYER,SYMBOL,KML_STYL
-80.0953815,26.2920405,13408,"""""","""""",""""""
-80.2364028,26.1932,13409,"""""","""""",""""""
-80.252026,25.7213994,13411,"""""","""""",""""""
-80.2702309,25.7467829,13412,"""""","""""",""""""
-80.305315,25.6618231,13416,"""""","""""",""""""
-80.2891609,25.31286,13418,"""""","""""",""""""
-80.2879933,25.8846103,13419,"""""","""""",""""""
-80.413296,25.6544727,13420,"""""","""""",""""""
-80.3412613,25.6880927,13423,"""""","""""",""""""
-80.482682,25.6167965,13426,"""""","""""",""""""
-80.1665219,26.2343852,13427,"""""","""""",""""""
-80.3156192,25.7356771,13429,"""""","""""",""""""
-80.1385237,25.9127269,13430,"""""","""""",""""""
-80.1839971,25.8488737,13433,"""""","""""",""""""
-80.3268639,25.6589298,13438,"""""","""""",""""""
-80.2882009,25.2973079,13442,"""""","""""",""""""
-80.0509752,26.7016421,13444,"""""","""""",""""""
-80.1314875,25.773899,13446,"""""","""""",""""""
-80.2926209,25.292451,13461,"""""","""""",""""""
-80.2842029,25.3124771,13463,"""""","""""",""""""
-80.2693398,25.7144888,13465,"""""","""""",""""""
-80.1681192,25.6997315,13469,"""""","""""",""""""
-80.2427741,25.7657845,13473,"""""","""""",""""""
-80.2732635,25.3218084,13482,"""""","""""",""""""
-80.288291,25.2917004,13486,"""""","""""",""""""
-80.1458208,25.949251,13488,"""""","""""",""""""
-80.2956773,25.7641713,13489,"""""","""""",""""""
-80.1603011,25.8504113,13494,"""""","""""",""""""
-80.1604739,25.8505325,13494,"""""","""""",""""""
-80.259298,25.3303602,13497,"""""","""""",""""""
-80.276874,25.314087,13499,"""""","""""",""""""
-80.2909224,25.3051961,13502,"""""","""""",""""""
-80.2490163,25.8920744,13507,"""""","""""",""""""
-80.2762557,25.3131187,13509,"""""","""""",""""""
-80.2008601,25.7905388,13510,"""""","""""",""""""
-80.1965045,25.7796779,13517,"""""","""""",""""""
-80.1248589,25.863435,13520,"""""","""""",""""""
-80.2861278,25.3211312,13525,"""""","""""",""""""
-80.3471352,25.9405029,13528,"""""","""""",""""""
-80.3443038,25.9288587,13534,"""""","""""",""""""
-80.2896545,25.3199694,13546,"""""","""""",""""""
-80.3410599,25.6978268,13547,"""""","""""",""""""
-80.3175976,25.6498343,13564,"""""","""""",""""""
-80.392502,25.7194912,13573,"""""","""""",""""""
-80.1531994,25.9415894,13574,"""""","""""",""""""
-80.2852588,25.320069,14004,"""""","""""",""""""
-80.4145714,25.5976821,14006,"""""","""""",""""""
-80.2882294,25.7617484,14013,"""""","""""",""""""
-80.2745496,25.3158341,14029,"""""","""""",""""""
-80.294796,25.6859697,14030,"""""","""""",""""""
-80.2980384,25.7636518,14037,"""""","""""",""""""
-80.2905221,25.3127328,14039,"""""","""""",""""""
-80.3543393,25.8369361,14043,"""""","""""",""""""
-80.3542625,25.8380939,14043,"""""","""""",""""""
-80.2869743,25.7022013,14044,"""""","""""",""""""
